City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,portland,45.5234,-122.6762,19.05,76,75,1.54,US,1684222668
251,chazuta,-6.5742,-76.1367,22.96,87,91,0.48,PE,1684222991
252,juba,4.8517,31.5825,32.89,45,33,3.79,SS,1684222991
253,viedma,-40.8135,-62.9967,15.53,60,12,4.74,AR,1684222991
254,terrace,54.5163,-128.6035,16.95,44,0,3.09,CA,1684222710
255,inuvik,68.3499,-133.7218,11.48,41,75,3.09,CA,1684222820
256,luganville,-15.5333,167.1667,26.41,81,100,4.85,VU,1684222992
257,nang rong,14.6377,102.7914,36.03,35,77,3.19,TH,1684222993
258,qostanay,53.1667,63.5833,20.16,30,25,5.0,KZ,1684222993
259,salym,60.0625,71.4789,9.81,35,62,6.03,RU,1684222993
260,yulara,-25.2406,130.9889,21.82,22,4,5.86,AU,1684222994
261,batemans bay,-35.7167,150.1833,16.72,77,30,6.64,AU,1684222994
262,bathsheba,13.2167,-59.5167,27.34,78,40,3.6,BB,1684222994
263,college,64.8569,-147.8028,12.97,45,75,3.09,US,1684222995
264,innisfail,-17.5333,146.0333,24.54,91,20,2.42,AU,1684222995
265,norman wells,65.282,-126.8329,14.02,44,20,3.09,CA,1684222996
266,sorong,-0.8833,131.25,30.23,71,69,4.8,ID,1684222997
267,maiduguri,11.8464,13.1603,33.01,41,100,7.86,NG,1684222710
268,camopi,3.1655,-52.3158,22.63,100,95,0.6,GF,1684222997
269,olafsvik,64.8945,-23.7142,5.14,74,100,6.21,IS,1684222998
270,grand gaube,-20.0064,57.6608,28.22,66,1,4.02,MU,1684222999
271,arica,-18.475,-70.3042,20.13,73,100,0.0,CL,1684222807
272,saint-augustin,51.226,-58.6502,2.67,77,83,3.88,CA,1684222999
273,pokhara,28.2333,83.9833,34.22,18,39,2.33,NP,1684222923
274,peniche,39.3558,-9.3811,16.98,91,100,5.63,PT,1684223000
275,aswan,24.0934,32.907,23.61,83,0,3.6,EG,1684223000
276,faanui,-16.4833,-151.75,27.63,72,11,3.15,PF,1684223001
277,ilhabela,-23.7781,-45.3581,17.44,57,33,2.13,BR,1684223001
278,balkhash,46.844,74.9804,21.34,13,0,8.0,KZ,1684223001
279,mayo,38.8876,-76.5119,17.2,81,0,4.12,US,1684222876
280,turkistan,43.0,68.0,32.56,18,91,8.08,KZ,1684223002
281,mokhsogollokh,61.4681,128.9203,9.87,81,100,2.52,RU,1684223002
282,presidencia roque saenz pena,-26.7852,-60.4388,13.4,82,0,2.93,AR,1684223003
283,boende,-0.2167,20.8667,30.76,58,11,1.36,CD,1684223003
284,son la,21.3167,103.9,31.23,44,100,2.17,VN,1684223003
285,catia la mar,10.6038,-67.0303,27.5,88,40,2.06,VE,1684222950
286,bethanien,-26.502,17.1583,17.07,39,6,2.39,NA,1684223004
287,kaeo,-35.1,173.7833,13.21,91,1,1.86,NZ,1684223004
288,geraldton,-28.7667,114.6,26.23,31,75,5.14,AU,1684223005
289,hualmay,-11.0964,-77.6139,20.87,81,65,3.05,PE,1684223005
290,tautira,-17.7333,-149.15,26.53,73,1,1.64,PF,1684223005
291,lednice,48.7999,16.8034,17.47,75,100,0.6,CZ,1684223006
292,sakaiminato,35.55,133.2333,25.99,47,40,6.17,JP,1684223006
293,eirunepe,-6.6603,-69.8736,22.48,97,99,0.5,BR,1684223006
294,natal,-5.795,-35.2094,23.36,100,20,2.06,BR,1684222922
295,nome,64.5011,-165.4064,-0.96,86,100,10.29,US,1684223007
296,ler,8.3018,30.1418,36.0,33,70,3.51,SS,1684223008
297,qaqortoq,60.7167,-46.0333,1.6,81,100,2.27,GL,1684223008
298,santa branca,-23.3967,-45.8839,9.17,86,19,0.44,BR,1684223008
299,cairns,-16.9167,145.7667,27.97,65,40,4.12,AU,1684222843
300,tonstad,58.6626,6.7169,10.11,61,38,4.11,NO,1684223009
301,acarau,-2.8856,-40.12,25.16,90,79,4.22,BR,1684223009
302,cabo san lucas,22.8909,-109.9124,23.06,46,87,5.36,MX,1684222911
303,savalou,7.9281,1.9756,25.18,82,100,2.39,BJ,1684223010
304,valle de allende,26.9333,-105.4,16.7,60,91,2.26,MX,1684223011
305,makakilo city,21.3469,-158.0858,22.23,71,20,3.09,US,1684223011
306,richards bay,-28.783,32.0377,20.5,67,12,1.58,ZA,1684223012
307,amberley,39.2048,-84.428,15.95,89,40,0.0,US,1684223012
308,katherine,-14.4667,132.2667,32.18,33,40,5.66,AU,1684223012
309,erenhot,43.6475,111.9767,19.43,15,59,7.21,CN,1684223013
310,leningradskiy,69.3833,178.4167,-8.86,84,4,2.13,RU,1684223013
311,fare,-16.7,-151.0167,27.36,74,1,3.94,PF,1684223013
312,salina cruz,16.1667,-95.2,27.75,67,39,5.65,MX,1684223014
313,imbituba,-28.24,-48.6703,17.14,81,4,3.73,BR,1684222789
314,suntar,62.1444,117.6319,11.65,31,99,0.96,RU,1684223014
315,mount darwin,-16.7725,31.5838,23.26,48,19,4.52,ZW,1684223015
316,sorland,67.667,12.6934,7.92,87,68,2.57,NO,1684223015
317,kutum,14.2,24.6667,33.12,7,6,4.84,SD,1684223015
318,isla vista,34.4133,-119.861,14.41,95,100,1.54,US,1684223016
319,pudozh,61.8099,36.5345,20.45,33,79,3.43,RU,1684223016
320,berlevag,70.8578,29.0864,7.89,93,75,1.54,NO,1684223016
321,matara,5.9485,80.5353,32.08,65,100,5.93,LK,1684223017
322,coruripe,-10.1256,-36.1756,24.06,87,32,1.3,BR,1684223017
323,ashtabula,41.7001,-80.7665,8.8,81,0,0.0,US,1684223017
324,mount gambier,-37.8333,140.7667,10.87,52,58,2.77,AU,1684223017
325,puerto pailas,-17.667,-62.7909,18.51,95,0,1.27,BO,1684223018
326,hovd,48.0056,91.6419,11.7,32,6,2.88,MN,1684223018
327,altagracia de orituco,9.8601,-66.3814,23.07,80,95,1.23,VE,1684223018
328,port lincoln,-34.7333,135.8667,14.69,66,79,4.67,AU,1684223018
329,kaputa,-8.4689,29.6619,25.17,67,27,0.88,ZM,1684223019
